id,name,group,primary_type,additional_type(s)
720575940621975773,VES.157,VES,AN_GNG_VES_7,
720575940621976097,SPS.ICL.1,SPS.ICL,PS001,
720575940621976600,LO.PVLP.1552,LO.PVLP,LC12,
720575940621978365,GNG.4506,GNG,AN_GNG_165,
720575940621981464,AMMC.60,AMMC,JO-E,
720575940621983757,IPS.PLP.30,IPS.PLP,WED025,
720575940621988746,AVLP.2466,AVLP,CB2178,
720575940621989417,LO.3196,LO,LC24,
720575940621989828,LAL.IPS.59,LAL.IPS,WED096b,WED096
720575940621992257,PVLP.120,PVLP,PVLP008,
720575940621997034,IPS.220,IPS,PS118,
720575940622002086,GNG.2616,GNG,AN_GNG_4,
720575940622004106,SAD.WED.35,SAD.WED,CB2475,B1
720575940622007472,AVLP.ME.3,AVLP.ME,cM11,
720575940622007944,LO.PVLP.281,LO.PVLP,LC21,
720575940622008230,PVLP.LO.79,PVLP.LO,LC9,
720575940622008560,GNG.1973,GNG,CB0705,
720575940622009284,LO.PVLP.356,LO.PVLP,LPLC2,
720575940622009676,WED.SAD.29,WED.SAD,CB1065,
720575940622010373,GNG.75,GNG,DNg55,
720575940622013257,GNG.3495,GNG,,
720575940622014758,LO.PVLP.1611,LO.PVLP,LC16,
720575940622015635,LO.PVLP.124,LO.PVLP,LC11,
720575940622018309,GNG.526,GNG,CB0898,
720575940622018565,PRW.GNG.39,PRW.GNG,AN_GNG_136,
720575940622018698,LO.PVLP.1597,LO.PVLP,LC16,
720575940622019333,GNG.3754,GNG,AN_GNG_193,
720575940622019581,LO.PVLP.1487,LO.PVLP,LC12,
720575940622020613,GNG.4091,GNG,AN_GNG_61,
720575940622020940,IPS.511,IPS,CB0374,
720575940622021117,GNG.3298,GNG,,
720575940622021637,GNG.948,GNG,CB0912,
720575940622021953,AVLP.534,AVLP,AVLP304,
720575940622022071,PLP.SMP.53,PLP.SMP,SMP459,
720575940622024330,LO.PVLP.521,LO.PVLP,LC17,
720575940622024957,LO.PVLP.1454,LO.PVLP,LC12,
720575940622025548,CRE.80,CRE,CRE103b,CRE103
720575940622025989,GNG.3753,GNG,AN_GNG_173,
720575940622026245,GNG.220,GNG,CB0507,
720575940622027222,GNG.78,GNG,DNge046,
720575940622028029,LO.AVLP.46,LO.AVLP,LC31a,LC31
720575940622028435,LO.PVLP.495,LO.PVLP,LC17,
720575940622029203,LO.PVLP.253,LO.PVLP,LC17,
720575940622030806,GNG.2566,GNG,BM_MaPa,
720575940622032734,LH.SLP.567,LH.SLP,SLP275,
720575940622036504,PLP.SLP.43,PLP.SLP,CB3179,
720575940622037926,IPS.235,IPS,DNg41,
720575940622040419,SMP.FLA.92,SMP.FLA,DNpe044,"SMP479, pMP1"
720575940622041053,PLP.ICL.14,PLP.ICL,CL004,
720575940622042373,GNG.1538,GNG,CB2115,
720575940622042603,SPS.498,SPS,DNg02_c,
720575940622042662,LO.PVLP.921,LO.PVLP,LC12,
720575940622043357,WED.IPS.27,WED.IPS,CB1477,
720575940622043829,AVLP.ICL.126,AVLP.ICL,CB2386,
720575940622044139,WED.ICL.5,WED.ICL,CB1087,
720575940622044381,IPS.524,IPS,CB1047,
720575940622045133,AVLP.1897,AVLP,CB2376,
720575940622048862,SLP.AVLP.1,SLP.AVLP,AVLP209,
720575940622050328,IPS.PLP.75,IPS.PLP,CB2348,
720575940622052586,GNG.4090,GNG,BM_InOm,
720575940622052641,LH.SLP.340,LH.SLP,CB3061,
720575940622052732,AVLP.1150,AVLP,AVLP451b,AVLP451
720575940622054753,GNG.164,GNG,CB0844,
720575940622055201,LH.SLP.1003,LH.SLP,LHAV2b10,
720575940622055777,SPS.243,SPS,WED127,
720575940622056035,AVLP.454,AVLP,CB2100,
720575940622058364,SCL.ICL.5,SCL.ICL,CL267,
720575940622059242,GNG.4505,GNG,BM_InOm,
720575940622060551,PVLP.AVLP.231,PVLP.AVLP,PVLP133,
720575940622061132,GNG.2906,GNG,TPMN,
720575940622061667,LO.PVLP.1081,LO.PVLP,LC6,
720575940622062433,ICL.85,ICL,CL086_a,CL086_d
720575940622063948,GNG.3752,GNG,BM_InOm,
720575940622065432,AVLP.1982,AVLP,CB2364,AVLP_pr01
720575940622065622,AVLP.1001,AVLP,CB1383,
720575940622065642,ICL.107,ICL,CL090_c,
720575940622066390,GNG.383,GNG,CB0292,
720575940622066615,PLP.ICL.34,PLP.ICL,PLP057a,PLP057
720575940622067165,GNG.677,GNG,DNg59,
720575940622068574,AVLP.2506,AVLP,CB1187,
720575940622072299,GNG.4504,GNG,AN_GNG_175,
720575940622074109,SLP.264,SLP,LHAD1a2,
720575940622074206,GNG.1305,GNG,CB0727,
720575940622075530,GNG.4503,GNG,BM_InOm,
720575940622076680,IPS.523,IPS,WED128,WED129
720575940622076952,LO.PVLP.719,LO.PVLP,LC18,
720575940622078685,PVLP.AVLP.79,PVLP.AVLP,CB2682,
720575940622081306,LH.SLP.82,LH.SLP,AVLP596,
720575940622082913,PVLP.ICL.18,PVLP.ICL,PLP181,
720575940622084774,LO.PVLP.1598,LO.PVLP,LC16,
720575940622085258,GNG.IPS.46,GNG.IPS,CB1282,
720575940622089057,LO.PVLP.172,LO.PVLP,LC17,
720575940622089761,PVLP.SMP.1,PVLP.SMP,AVLP015,
720575940622092454,SPS.167,SPS,CB2271,
720575940622093832,GNG.3751,GNG,SA_DMT_DMetaN_12,
720575940622094728,SMP.1391,SMP,SMP360,
720575940622095203,PVLP.154,PVLP,CB0158,
720575940622096778,SLP.440,SLP,CB3386,
720575940622097833,WED.132,WED,WED168,
720575940622097959,AVLP.2540,AVLP,CB1078,"B1-1, aPN1"
720575940622099405,SAD.414,SAD,JO-E,
720575940622100001,LO.1438,LO,LT57,
720575940622102154,GNG.1189,GNG,CB1475,
720575940622102182,AVLP.2390,AVLP,AN_AVLP_GNG_21,
720575940622104097,LH.43,LH,LHPV2a1_c,LHPV2a1
720575940622104584,GNG.3750,GNG,SA_DMT_DMetaN_12,
720575940622105182,AOTU.VES.1,AOTU.VES,AOTU012,
720575940622105480,LAL.185,LAL,CB0100,
720575940622107937,SLP.255,SLP,SLP287,
720575940622108001,LO.PVLP.622,LO.PVLP,LC4,
720575940622108933,GNG.SAD.4,GNG.SAD,CB2162,
720575940622109466,SLP.PVLP.2,SLP.PVLP,AVLP042,
720575940622109769,GNG.3068,GNG,AN_GNG_132,
720575940622111073,SPS.PLP.22,SPS.PLP,CB3792,
720575940622112353,SAD.233,SAD,CB2431,
720575940622114121,SLP.355,SLP,SLP285,
720575940622116705,GNG.1152,GNG,CB0070,
720575940622117441,AVLP.SLP.159,AVLP.SLP,CB3232,aIP1
720575940622117473,AVLP.866,AVLP,AVLP116,
720575940622118566,FLA.VES.6,FLA.VES,AN_FLA_VES_2,
720575940622122083,VES.141,VES,SAD075,
720575940622122672,LOP.PLP.4,LOP.PLP,LPT48_vCal3,
720575940622123144,PRW.GNG.21,PRW.GNG,CB2054,
720575940622123400,SAD.IPS.56,SAD.IPS,DNge091,
720575940622123875,AVLP.1876,AVLP,CB1780,
720575940622123981,SAD.AVLP.1,SAD.AVLP,WV-WV-1,
720575940622124833,PRW.GNG.38,PRW.GNG,CB2962,
720575940622126550,AVLP.601,AVLP,AVLP287,
720575940622127830,GNG.3494,GNG,BM_InOm,
720575940622129441,SAD.IPS.100,SAD.IPS,CB2000,
720575940622129449,PVLP.ICL.5,PVLP.ICL,PLP115_b,
720575940622130058,GNG.4089,GNG,BM_InOm,
720575940622132545,IPS.LO.2,IPS.LO,cMLLP02,PS136
720575940622132553,AVLP.1338,AVLP,AVLP299_c,
720575940622135757,WED.VES.4,WED.VES,AN_VES_WED_2,
